year,fuel,energy_[pj],category,state
1961,black_coal [pj],23.0,consumption_of_fuels,Victoria
1962,black_coal [pj],19.0,consumption_of_fuels,Victoria
1963,black_coal [pj],20.0,consumption_of_fuels,Victoria
1964,black_coal [pj],19.3,consumption_of_fuels,Victoria
1965,black_coal [pj],17.0,consumption_of_fuels,Victoria
1966,black_coal [pj],14.8,consumption_of_fuels,Victoria
1967,black_coal [pj],13.2,consumption_of_fuels,Victoria
1968,black_coal [pj],11.5,consumption_of_fuels,Victoria
1969,black_coal [pj],8.1,consumption_of_fuels,Victoria
1970,black_coal [pj],2.4,consumption_of_fuels,Victoria
1971,black_coal [pj],1.8,consumption_of_fuels,Victoria
1972,black_coal [pj],1.1,consumption_of_fuels,Victoria
1973,black_coal [pj],0.3,consumption_of_fuels,Victoria
1974,black_coal [pj],0.1,consumption_of_fuels,Victoria
1975,black_coal [pj],0.1,consumption_of_fuels,Victoria
1976,black_coal [pj],0.1,consumption_of_fuels,Victoria
1977,black_coal [pj],0.1,consumption_of_fuels,Victoria
1978,black_coal [pj],0.1,consumption_of_fuels,Victoria
1979,black_coal [pj],0.1,consumption_of_fuels,Victoria
1980,black_coal [pj],0.1,consumption_of_fuels,Victoria
1981,black_coal [pj],0.1,consumption_of_fuels,Victoria
1982,black_coal [pj],0.1,consumption_of_fuels,Victoria
1983,black_coal [pj],0.1,consumption_of_fuels,Victoria
1984,black_coal [pj],0.1,consumption_of_fuels,Victoria
1985,black_coal [pj],0.1,consumption_of_fuels,Victoria
1986,black_coal [pj],0.1,consumption_of_fuels,Victoria
1987,black_coal [pj],0.2,consumption_of_fuels,Victoria
1988,black_coal [pj],0.1,consumption_of_fuels,Victoria
1989,black_coal [pj],0.1,consumption_of_fuels,Victoria
1990,black_coal [pj],,consumption_of_fuels,Victoria
1991,black_coal [pj],,consumption_of_fuels,Victoria
1992,black_coal [pj],,consumption_of_fuels,Victoria
1993,black_coal [pj],,consumption_of_fuels,Victoria
1994,black_coal [pj],,consumption_of_fuels,Victoria
1995,black_coal [pj],,consumption_of_fuels,Victoria
1996,black_coal [pj],,consumption_of_fuels,Victoria
1997,black_coal [pj],,consumption_of_fuels,Victoria
1998,black_coal [pj],,consumption_of_fuels,Victoria
1999,black_coal [pj],,consumption_of_fuels,Victoria
2000,black_coal [pj],,consumption_of_fuels,Victoria
2001,black_coal [pj],,consumption_of_fuels,Victoria
2002,black_coal [pj],,consumption_of_fuels,Victoria
2003,black_coal [pj],,consumption_of_fuels,Victoria
2004,black_coal [pj],,consumption_of_fuels,Victoria
2005,black_coal [pj],,consumption_of_fuels,Victoria
2006,black_coal [pj],,consumption_of_fuels,Victoria
2007,black_coal [pj],,consumption_of_fuels,Victoria
2008,black_coal [pj],,consumption_of_fuels,Victoria
2009,black_coal [pj],,consumption_of_fuels,Victoria
2010,black_coal [pj],,consumption_of_fuels,Victoria
2011,black_coal [pj],,consumption_of_fuels,Victoria
2012,black_coal [pj],,consumption_of_fuels,Victoria
2013,black_coal [pj],,consumption_of_fuels,Victoria
2014,black_coal [pj],,consumption_of_fuels,Victoria
2015,black_coal [pj],,consumption_of_fuels,Victoria
2016,black_coal [pj],,consumption_of_fuels,Victoria
2017,black_coal [pj],,consumption_of_fuels,Victoria
2018,black_coal [pj],,consumption_of_fuels,Victoria
2019,black_coal [pj],,consumption_of_fuels,Victoria
2020,black_coal [pj],,consumption_of_fuels,Victoria
2021,black_coal [pj],,consumption_of_fuels,Victoria
2022,black_coal [pj],,consumption_of_fuels,Victoria
,black_coal [pj],,consumption_of_fuels,Victoria
,black_coal [pj],,consumption_of_fuels,Victoria
,black_coal [pj],,consumption_of_fuels,Victoria
,black_coal [pj],,consumption_of_fuels,Victoria
,black_coal [pj],,consumption_of_fuels,Victoria
,black_coal [pj],,consumption_of_fuels,Victoria
,black_coal [pj],,consumption_of_fuels,Victoria
,black_coal [pj],,consumption_of_fuels,Victoria
,black_coal [pj],,consumption_of_fuels,Victoria
1960,brown_coal [pj],,consumption_of_fuels,Victoria
1961,brown_coal [pj],,consumption_of_fuels,Victoria
1962,brown_coal [pj],,consumption_of_fuels,Victoria
1963,brown_coal [pj],,consumption_of_fuels,Victoria
1964,brown_coal [pj],,consumption_of_fuels,Victoria
1965,brown_coal [pj],,consumption_of_fuels,Victoria
1966,brown_coal [pj],,consumption_of_fuels,Victoria
1967,brown_coal [pj],,consumption_of_fuels,Victoria
1968,brown_coal [pj],,consumption_of_fuels,Victoria
1969,brown_coal [pj],,consumption_of_fuels,Victoria
1970,brown_coal [pj],,consumption_of_fuels,Victoria
1971,brown_coal [pj],,consumption_of_fuels,Victoria
1972,brown_coal [pj],,consumption_of_fuels,Victoria
1973,brown_coal [pj],,consumption_of_fuels,Victoria
1974,brown_coal [pj],,consumption_of_fuels,Victoria
1975,brown_coal [pj],,consumption_of_fuels,Victoria
1976,brown_coal [pj],,consumption_of_fuels,Victoria
1977,brown_coal [pj],,consumption_of_fuels,Victoria
1978,brown_coal [pj],,consumption_of_fuels,Victoria
1979,brown_coal [pj],,consumption_of_fuels,Victoria
1980,brown_coal [pj],,consumption_of_fuels,Victoria
1981,brown_coal [pj],,consumption_of_fuels,Victoria
1982,brown_coal [pj],,consumption_of_fuels,Victoria
1983,brown_coal [pj],,consumption_of_fuels,Victoria
1984,brown_coal [pj],,consumption_of_fuels,Victoria
1985,brown_coal [pj],,consumption_of_fuels,Victoria
1986,brown_coal [pj],,consumption_of_fuels,Victoria
1987,brown_coal [pj],,consumption_of_fuels,Victoria
1988,brown_coal [pj],,consumption_of_fuels,Victoria
1989,brown_coal [pj],,consumption_of_fuels,Victoria
1990,brown_coal [pj],,consumption_of_fuels,Victoria
1991,brown_coal [pj],,consumption_of_fuels,Victoria
1992,brown_coal [pj],,consumption_of_fuels,Victoria
1993,brown_coal [pj],,consumption_of_fuels,Victoria
1994,brown_coal [pj],,consumption_of_fuels,Victoria
1995,brown_coal [pj],,consumption_of_fuels,Victoria
1996,brown_coal [pj],,consumption_of_fuels,Victoria
1997,brown_coal [pj],,consumption_of_fuels,Victoria
1998,brown_coal [pj],,consumption_of_fuels,Victoria
1999,brown_coal [pj],,consumption_of_fuels,Victoria
2000,brown_coal [pj],,consumption_of_fuels,Victoria
2001,brown_coal [pj],,consumption_of_fuels,Victoria
2002,brown_coal [pj],646.788,consumption_of_fuels,Victoria
2003,brown_coal [pj],655.733,consumption_of_fuels,Victoria
2004,brown_coal [pj],659.987,consumption_of_fuels,Victoria
2005,brown_coal [pj],674.914,consumption_of_fuels,Victoria
2006,brown_coal [pj],664.268,consumption_of_fuels,Victoria
2007,brown_coal [pj],670.235,consumption_of_fuels,Victoria
2008,brown_coal [pj],694.687,consumption_of_fuels,Victoria
2009,brown_coal [pj],689.235,consumption_of_fuels,Victoria
2010,brown_coal [pj],681.661,consumption_of_fuels,Victoria
2011,brown_coal [pj],706.289,consumption_of_fuels,Victoria
2012,brown_coal [pj],622.466,consumption_of_fuels,Victoria
2013,brown_coal [pj],605.963,consumption_of_fuels,Victoria
2014,brown_coal [pj],640.889,consumption_of_fuels,Victoria
2015,brown_coal [pj],616.607,consumption_of_fuels,Victoria
2016,brown_coal [pj],576.775,consumption_of_fuels,Victoria
2017,brown_coal [pj],466.999,consumption_of_fuels,Victoria
2018,brown_coal [pj],443.714,consumption_of_fuels,Victoria
2019,brown_coal [pj],422.801,consumption_of_fuels,Victoria
2020,brown_coal [pj],427.148,consumption_of_fuels,Victoria
2021,brown_coal [pj],410.049,consumption_of_fuels,Victoria
2022,brown_coal [pj],397.496,consumption_of_fuels,Victoria
,brown_coal [pj],,consumption_of_fuels,Victoria
,brown_coal [pj],,consumption_of_fuels,Victoria
,brown_coal [pj],,consumption_of_fuels,Victoria
,brown_coal [pj],,consumption_of_fuels,Victoria
,brown_coal [pj],,consumption_of_fuels,Victoria
,brown_coal [pj],,consumption_of_fuels,Victoria
,brown_coal [pj],,consumption_of_fuels,Victoria
,brown_coal [pj],,consumption_of_fuels,Victoria
,brown_coal [pj],,consumption_of_fuels,Victoria
1960,coke [pj],,consumption_of_fuels,Victoria
1961,coke [pj],,consumption_of_fuels,Victoria
1962,coke [pj],,consumption_of_fuels,Victoria
1963,coke [pj],,consumption_of_fuels,Victoria
1964,coke [pj],,consumption_of_fuels,Victoria
1965,coke [pj],,consumption_of_fuels,Victoria
1966,coke [pj],,consumption_of_fuels,Victoria
1967,coke [pj],,consumption_of_fuels,Victoria
1968,coke [pj],,consumption_of_fuels,Victoria
1969,coke [pj],,consumption_of_fuels,Victoria
1970,coke [pj],,consumption_of_fuels,Victoria
1971,coke [pj],,consumption_of_fuels,Victoria
1972,coke [pj],,consumption_of_fuels,Victoria
1973,coke [pj],,consumption_of_fuels,Victoria
1974,coke [pj],,consumption_of_fuels,Victoria
1975,coke [pj],,consumption_of_fuels,Victoria
1976,coke [pj],,consumption_of_fuels,Victoria
1977,coke [pj],,consumption_of_fuels,Victoria
1978,coke [pj],,consumption_of_fuels,Victoria
1979,coke [pj],,consumption_of_fuels,Victoria
1980,coke [pj],,consumption_of_fuels,Victoria
1981,coke [pj],,consumption_of_fuels,Victoria
1982,coke [pj],,consumption_of_fuels,Victoria
1983,coke [pj],,consumption_of_fuels,Victoria
1984,coke [pj],,consumption_of_fuels,Victoria
1985,coke [pj],,consumption_of_fuels,Victoria
1986,coke [pj],,consumption_of_fuels,Victoria
1987,coke [pj],,consumption_of_fuels,Victoria
1988,coke [pj],,consumption_of_fuels,Victoria
1989,coke [pj],,consumption_of_fuels,Victoria
1990,coke [pj],,consumption_of_fuels,Victoria
1991,coke [pj],,consumption_of_fuels,Victoria
1992,coke [pj],,consumption_of_fuels,Victoria
1993,coke [pj],,consumption_of_fuels,Victoria
1994,coke [pj],,consumption_of_fuels,Victoria
1995,coke [pj],,consumption_of_fuels,Victoria
1996,coke [pj],,consumption_of_fuels,Victoria
1997,coke [pj],,consumption_of_fuels,Victoria
1998,coke [pj],,consumption_of_fuels,Victoria
1999,coke [pj],,consumption_of_fuels,Victoria
2000,coke [pj],,consumption_of_fuels,Victoria
2001,coke [pj],,consumption_of_fuels,Victoria
2002,coke [pj],,consumption_of_fuels,Victoria
2003,coke [pj],,consumption_of_fuels,Victoria
2004,coke [pj],,consumption_of_fuels,Victoria
2005,coke [pj],,consumption_of_fuels,Victoria
2006,coke [pj],,consumption_of_fuels,Victoria
2007,coke [pj],,consumption_of_fuels,Victoria
2008,coke [pj],,consumption_of_fuels,Victoria
2009,coke [pj],,consumption_of_fuels,Victoria
2010,coke [pj],,consumption_of_fuels,Victoria
2011,coke [pj],,consumption_of_fuels,Victoria
2012,coke [pj],,consumption_of_fuels,Victoria
2013,coke [pj],,consumption_of_fuels,Victoria
2014,coke [pj],,consumption_of_fuels,Victoria
2015,coke [pj],,consumption_of_fuels,Victoria
2016,coke [pj],,consumption_of_fuels,Victoria
2017,coke [pj],,consumption_of_fuels,Victoria
2018,coke [pj],,consumption_of_fuels,Victoria
2019,coke [pj],,consumption_of_fuels,Victoria
2020,coke [pj],,consumption_of_fuels,Victoria
2021,coke [pj],,consumption_of_fuels,Victoria
2022,coke [pj],,consumption_of_fuels,Victoria
,coke [pj],,consumption_of_fuels,Victoria
,coke [pj],,consumption_of_fuels,Victoria
,coke [pj],,consumption_of_fuels,Victoria
,coke [pj],,consumption_of_fuels,Victoria
,coke [pj],,consumption_of_fuels,Victoria
,coke [pj],,consumption_of_fuels,Victoria
,coke [pj],,consumption_of_fuels,Victoria
,coke [pj],,consumption_of_fuels,Victoria
,coke [pj],,consumption_of_fuels,Victoria
1960,coal_by_products [pj],,consumption_of_fuels,Victoria
1961,coal_by_products [pj],,consumption_of_fuels,Victoria
1962,coal_by_products [pj],,consumption_of_fuels,Victoria
1963,coal_by_products [pj],,consumption_of_fuels,Victoria
1964,coal_by_products [pj],,consumption_of_fuels,Victoria
1965,coal_by_products [pj],,consumption_of_fuels,Victoria
1966,coal_by_products [pj],,consumption_of_fuels,Victoria
1967,coal_by_products [pj],,consumption_of_fuels,Victoria
1968,coal_by_products [pj],,consumption_of_fuels,Victoria
1969,coal_by_products [pj],,consumption_of_fuels,Victoria
1970,coal_by_products [pj],,consumption_of_fuels,Victoria
1971,coal_by_products [pj],,consumption_of_fuels,Victoria
1972,coal_by_products [pj],,consumption_of_fuels,Victoria
1973,coal_by_products [pj],,consumption_of_fuels,Victoria
1974,coal_by_products [pj],,consumption_of_fuels,Victoria
1975,coal_by_products [pj],,consumption_of_fuels,Victoria
1976,coal_by_products [pj],,consumption_of_fuels,Victoria
1977,coal_by_products [pj],,consumption_of_fuels,Victoria
1978,coal_by_products [pj],,consumption_of_fuels,Victoria
1979,coal_by_products [pj],,consumption_of_fuels,Victoria
1980,coal_by_products [pj],,consumption_of_fuels,Victoria
1981,coal_by_products [pj],,consumption_of_fuels,Victoria
1982,coal_by_products [pj],,consumption_of_fuels,Victoria
1983,coal_by_products [pj],,consumption_of_fuels,Victoria
1984,coal_by_products [pj],,consumption_of_fuels,Victoria
1985,coal_by_products [pj],,consumption_of_fuels,Victoria
1986,coal_by_products [pj],,consumption_of_fuels,Victoria
1987,coal_by_products [pj],,consumption_of_fuels,Victoria
1988,coal_by_products [pj],,consumption_of_fuels,Victoria
1989,coal_by_products [pj],,consumption_of_fuels,Victoria
1990,coal_by_products [pj],,consumption_of_fuels,Victoria
1991,coal_by_products [pj],,consumption_of_fuels,Victoria
1992,coal_by_products [pj],,consumption_of_fuels,Victoria
1993,coal_by_products [pj],,consumption_of_fuels,Victoria
1994,coal_by_products [pj],,consumption_of_fuels,Victoria
1995,coal_by_products [pj],,consumption_of_fuels,Victoria
1996,coal_by_products [pj],,consumption_of_fuels,Victoria
1997,coal_by_products [pj],,consumption_of_fuels,Victoria
1998,coal_by_products [pj],,consumption_of_fuels,Victoria
1999,coal_by_products [pj],,consumption_of_fuels,Victoria
2000,coal_by_products [pj],,consumption_of_fuels,Victoria
2001,coal_by_products [pj],,consumption_of_fuels,Victoria
2002,coal_by_products [pj],,consumption_of_fuels,Victoria
2003,coal_by_products [pj],,consumption_of_fuels,Victoria
2004,coal_by_products [pj],,consumption_of_fuels,Victoria
2005,coal_by_products [pj],,consumption_of_fuels,Victoria
2006,coal_by_products [pj],,consumption_of_fuels,Victoria
2007,coal_by_products [pj],,consumption_of_fuels,Victoria
2008,coal_by_products [pj],,consumption_of_fuels,Victoria
2009,coal_by_products [pj],,consumption_of_fuels,Victoria
2010,coal_by_products [pj],,consumption_of_fuels,Victoria
2011,coal_by_products [pj],,consumption_of_fuels,Victoria
2012,coal_by_products [pj],,consumption_of_fuels,Victoria
2013,coal_by_products [pj],,consumption_of_fuels,Victoria
2014,coal_by_products [pj],,consumption_of_fuels,Victoria
2015,coal_by_products [pj],,consumption_of_fuels,Victoria
2016,coal_by_products [pj],,consumption_of_fuels,Victoria
2017,coal_by_products [pj],,consumption_of_fuels,Victoria
2018,coal_by_products [pj],,consumption_of_fuels,Victoria
2019,coal_by_products [pj],,consumption_of_fuels,Victoria
2020,coal_by_products [pj],,consumption_of_fuels,Victoria
2021,coal_by_products [pj],,consumption_of_fuels,Victoria
2022,coal_by_products [pj],,consumption_of_fuels,Victoria
,coal_by_products [pj],,consumption_of_fuels,Victoria
,coal_by_products [pj],,consumption_of_fuels,Victoria
,coal_by_products [pj],,consumption_of_fuels,Victoria
,coal_by_products [pj],,consumption_of_fuels,Victoria
,coal_by_products [pj],,consumption_of_fuels,Victoria
,coal_by_products [pj],,consumption_of_fuels,Victoria
,coal_by_products [pj],,consumption_of_fuels,Victoria
,coal_by_products [pj],,consumption_of_fuels,Victoria
,coal_by_products [pj],,consumption_of_fuels,Victoria
1960,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1961,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1962,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1963,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1964,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1965,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1966,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1967,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1968,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1969,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1970,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1971,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1972,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1973,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1974,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1975,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1976,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1977,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1978,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1979,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1980,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1981,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1982,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1983,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1984,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1985,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1986,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1987,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1988,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1989,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1990,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1991,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1992,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1993,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1994,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1995,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1996,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1997,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1998,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1999,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
2000,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
2001,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
2002,liquid_gas_biofuels [pj],2.404,consumption_of_fuels,Victoria
2003,liquid_gas_biofuels [pj],2.391,consumption_of_fuels,Victoria
2004,liquid_gas_biofuels [pj],1.993,consumption_of_fuels,Victoria
2005,liquid_gas_biofuels [pj],1.873,consumption_of_fuels,Victoria
2006,liquid_gas_biofuels [pj],1.844,consumption_of_fuels,Victoria
2007,liquid_gas_biofuels [pj],3.764,consumption_of_fuels,Victoria
2008,liquid_gas_biofuels [pj],3.978,consumption_of_fuels,Victoria
2009,liquid_gas_biofuels [pj],4.231,consumption_of_fuels,Victoria
2010,liquid_gas_biofuels [pj],5.49,consumption_of_fuels,Victoria
2011,liquid_gas_biofuels [pj],6.214,consumption_of_fuels,Victoria
2012,liquid_gas_biofuels [pj],6.015,consumption_of_fuels,Victoria
2013,liquid_gas_biofuels [pj],6.99,consumption_of_fuels,Victoria
2014,liquid_gas_biofuels [pj],6.6,consumption_of_fuels,Victoria
2015,liquid_gas_biofuels [pj],5.942,consumption_of_fuels,Victoria
2016,liquid_gas_biofuels [pj],5.412,consumption_of_fuels,Victoria
2017,liquid_gas_biofuels [pj],6.001,consumption_of_fuels,Victoria
2018,liquid_gas_biofuels [pj],6.272,consumption_of_fuels,Victoria
2019,liquid_gas_biofuels [pj],6.688,consumption_of_fuels,Victoria
2020,liquid_gas_biofuels [pj],6.295,consumption_of_fuels,Victoria
2021,liquid_gas_biofuels [pj],6.522,consumption_of_fuels,Victoria
2022,liquid_gas_biofuels [pj],6.053,consumption_of_fuels,Victoria
,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
,liquid_gas_biofuels [pj],,consumption_of_fuels,Victoria
1960,wood_woodwaste [pj],49.9,consumption_of_fuels,Victoria
1961,wood_woodwaste [pj],47.9,consumption_of_fuels,Victoria
1962,wood_woodwaste [pj],46.0,consumption_of_fuels,Victoria
1963,wood_woodwaste [pj],44.2,consumption_of_fuels,Victoria
1964,wood_woodwaste [pj],42.5,consumption_of_fuels,Victoria
1965,wood_woodwaste [pj],40.8,consumption_of_fuels,Victoria
1966,wood_woodwaste [pj],39.2,consumption_of_fuels,Victoria
1967,wood_woodwaste [pj],37.8,consumption_of_fuels,Victoria
1968,wood_woodwaste [pj],36.4,consumption_of_fuels,Victoria
1969,wood_woodwaste [pj],35.0,consumption_of_fuels,Victoria
1970,wood_woodwaste [pj],33.7,consumption_of_fuels,Victoria
1971,wood_woodwaste [pj],32.5,consumption_of_fuels,Victoria
1972,wood_woodwaste [pj],31.4,consumption_of_fuels,Victoria
1973,wood_woodwaste [pj],30.4,consumption_of_fuels,Victoria
1974,wood_woodwaste [pj],29.7,consumption_of_fuels,Victoria
1975,wood_woodwaste [pj],28.9,consumption_of_fuels,Victoria
1976,wood_woodwaste [pj],27.5,consumption_of_fuels,Victoria
1977,wood_woodwaste [pj],27.9,consumption_of_fuels,Victoria
1978,wood_woodwaste [pj],28.3,consumption_of_fuels,Victoria
1979,wood_woodwaste [pj],28.4,consumption_of_fuels,Victoria
1980,wood_woodwaste [pj],29.4,consumption_of_fuels,Victoria
1981,wood_woodwaste [pj],30.5,consumption_of_fuels,Victoria
1982,wood_woodwaste [pj],31.4,consumption_of_fuels,Victoria
1983,wood_woodwaste [pj],29.8,consumption_of_fuels,Victoria
1984,wood_woodwaste [pj],28.7,consumption_of_fuels,Victoria
1985,wood_woodwaste [pj],28.9,consumption_of_fuels,Victoria
1986,wood_woodwaste [pj],29.0,consumption_of_fuels,Victoria
1987,wood_woodwaste [pj],28.5,consumption_of_fuels,Victoria
1988,wood_woodwaste [pj],29.0,consumption_of_fuels,Victoria
1989,wood_woodwaste [pj],30.2,consumption_of_fuels,Victoria
1990,wood_woodwaste [pj],30.4,consumption_of_fuels,Victoria
1991,wood_woodwaste [pj],30.7,consumption_of_fuels,Victoria
1992,wood_woodwaste [pj],31.4,consumption_of_fuels,Victoria
1993,wood_woodwaste [pj],32.4,consumption_of_fuels,Victoria
1994,wood_woodwaste [pj],32.5,consumption_of_fuels,Victoria
1995,wood_woodwaste [pj],32.8,consumption_of_fuels,Victoria
1996,wood_woodwaste [pj],33.0,consumption_of_fuels,Victoria
1997,wood_woodwaste [pj],32.0,consumption_of_fuels,Victoria
1998,wood_woodwaste [pj],31.8,consumption_of_fuels,Victoria
1999,wood_woodwaste [pj],31.6,consumption_of_fuels,Victoria
2000,wood_woodwaste [pj],32.5,consumption_of_fuels,Victoria
2001,wood_woodwaste [pj],32.3,consumption_of_fuels,Victoria
2002,wood_woodwaste [pj],30.662,consumption_of_fuels,Victoria
2003,wood_woodwaste [pj],29.984,consumption_of_fuels,Victoria
2004,wood_woodwaste [pj],29.248,consumption_of_fuels,Victoria
2005,wood_woodwaste [pj],28.112,consumption_of_fuels,Victoria
2006,wood_woodwaste [pj],27.399,consumption_of_fuels,Victoria
2007,wood_woodwaste [pj],26.548,consumption_of_fuels,Victoria
2008,wood_woodwaste [pj],18.372,consumption_of_fuels,Victoria
2009,wood_woodwaste [pj],17.641,consumption_of_fuels,Victoria
2010,wood_woodwaste [pj],17.219,consumption_of_fuels,Victoria
2011,wood_woodwaste [pj],17.527,consumption_of_fuels,Victoria
2012,wood_woodwaste [pj],25.922,consumption_of_fuels,Victoria
2013,wood_woodwaste [pj],25.988,consumption_of_fuels,Victoria
2014,wood_woodwaste [pj],26.491,consumption_of_fuels,Victoria
2015,wood_woodwaste [pj],25.944,consumption_of_fuels,Victoria
2016,wood_woodwaste [pj],26.427,consumption_of_fuels,Victoria
2017,wood_woodwaste [pj],25.384,consumption_of_fuels,Victoria
2018,wood_woodwaste [pj],26.029,consumption_of_fuels,Victoria
2019,wood_woodwaste [pj],25.964,consumption_of_fuels,Victoria
2020,wood_woodwaste [pj],25.756,consumption_of_fuels,Victoria
2021,wood_woodwaste [pj],27.143,consumption_of_fuels,Victoria
2022,wood_woodwaste [pj],24.315,consumption_of_fuels,Victoria
,wood_woodwaste [pj],,consumption_of_fuels,Victoria
,wood_woodwaste [pj],,consumption_of_fuels,Victoria
,wood_woodwaste [pj],,consumption_of_fuels,Victoria
,wood_woodwaste [pj],,consumption_of_fuels,Victoria
,wood_woodwaste [pj],,consumption_of_fuels,Victoria
,wood_woodwaste [pj],,consumption_of_fuels,Victoria
,wood_woodwaste [pj],,consumption_of_fuels,Victoria
,wood_woodwaste [pj],,consumption_of_fuels,Victoria
,wood_woodwaste [pj],,consumption_of_fuels,Victoria
1960,bagasse [pj],,consumption_of_fuels,Victoria
1961,bagasse [pj],,consumption_of_fuels,Victoria
1962,bagasse [pj],,consumption_of_fuels,Victoria
1963,bagasse [pj],,consumption_of_fuels,Victoria
1964,bagasse [pj],,consumption_of_fuels,Victoria
1965,bagasse [pj],,consumption_of_fuels,Victoria
1966,bagasse [pj],,consumption_of_fuels,Victoria
1967,bagasse [pj],,consumption_of_fuels,Victoria
1968,bagasse [pj],,consumption_of_fuels,Victoria
1969,bagasse [pj],,consumption_of_fuels,Victoria
1970,bagasse [pj],,consumption_of_fuels,Victoria
1971,bagasse [pj],,consumption_of_fuels,Victoria
1972,bagasse [pj],,consumption_of_fuels,Victoria
1973,bagasse [pj],,consumption_of_fuels,Victoria
1974,bagasse [pj],,consumption_of_fuels,Victoria
1975,bagasse [pj],,consumption_of_fuels,Victoria
1976,bagasse [pj],,consumption_of_fuels,Victoria
1977,bagasse [pj],,consumption_of_fuels,Victoria
1978,bagasse [pj],,consumption_of_fuels,Victoria
1979,bagasse [pj],,consumption_of_fuels,Victoria
1980,bagasse [pj],,consumption_of_fuels,Victoria
1981,bagasse [pj],,consumption_of_fuels,Victoria
1982,bagasse [pj],,consumption_of_fuels,Victoria
1983,bagasse [pj],,consumption_of_fuels,Victoria
1984,bagasse [pj],,consumption_of_fuels,Victoria
1985,bagasse [pj],,consumption_of_fuels,Victoria
1986,bagasse [pj],,consumption_of_fuels,Victoria
1987,bagasse [pj],,consumption_of_fuels,Victoria
1988,bagasse [pj],,consumption_of_fuels,Victoria
1989,bagasse [pj],,consumption_of_fuels,Victoria
1990,bagasse [pj],,consumption_of_fuels,Victoria
1991,bagasse [pj],,consumption_of_fuels,Victoria
1992,bagasse [pj],,consumption_of_fuels,Victoria
1993,bagasse [pj],,consumption_of_fuels,Victoria
1994,bagasse [pj],,consumption_of_fuels,Victoria
1995,bagasse [pj],,consumption_of_fuels,Victoria
1996,bagasse [pj],,consumption_of_fuels,Victoria
1997,bagasse [pj],,consumption_of_fuels,Victoria
1998,bagasse [pj],,consumption_of_fuels,Victoria
1999,bagasse [pj],,consumption_of_fuels,Victoria
2000,bagasse [pj],,consumption_of_fuels,Victoria
2001,bagasse [pj],,consumption_of_fuels,Victoria
2002,bagasse [pj],,consumption_of_fuels,Victoria
2003,bagasse [pj],,consumption_of_fuels,Victoria
