fuel_name,year,generation,unit,state,type
Oil products,2011,42.1,gwh,New South Wales,non-renewable
Other a,2011,,gwh,New South Wales,non-renewable
,2011,,gwh,New South Wales,non-renewable
"Bagasse, wood",2011,413.6,gwh,New South Wales,renewable
Biogas,2011,408.7,gwh,New South Wales,renewable
Wind,2011,697.6,gwh,New South Wales,renewable
Hydro,2011,2446.925,gwh,New South Wales,renewable
Large-scale solar PV,2011,,gwh,New South Wales,renewable
Small-scale solar PV,2011,657.7,gwh,New South Wales,renewable
Geothermal,2011,,gwh,New South Wales,renewable
 Of which ACT,2011,,gwh,New South Wales,renewable
,2011,,gwh,New South Wales,renewable
Black coal,2012,56798.6,gwh,New South Wales,non-renewable
Brown coal,2012,,gwh,New South Wales,non-renewable
Natural gas,2012,5168.7,gwh,New South Wales,non-renewable
Oil products,2012,190.9,gwh,New South Wales,non-renewable
Other a,2012,,gwh,New South Wales,non-renewable
,2012,,gwh,New South Wales,non-renewable
"Bagasse, wood",2012,425.4,gwh,New South Wales,renewable
Biogas,2012,413.4,gwh,New South Wales,renewable
Wind,2012,832.6,gwh,New South Wales,renewable
Hydro,2012,3298.089,gwh,New South Wales,renewable
Large-scale solar PV,2012,,gwh,New South Wales,renewable
Small-scale solar PV,2012,857.6,gwh,New South Wales,renewable
Geothermal,2012,,gwh,New South Wales,renewable
 Of which ACT,2012,,gwh,New South Wales,renewable
,2012,,gwh,New South Wales,renewable
Black coal,2013,55819.495,gwh,New South Wales,non-renewable
Brown coal,2013,,gwh,New South Wales,non-renewable
Natural gas,2013,5528.3,gwh,New South Wales,non-renewable
Oil products,2013,170.7,gwh,New South Wales,non-renewable
Other a,2013,,gwh,New South Wales,non-renewable
,2013,,gwh,New South Wales,non-renewable
"Bagasse, wood",2013,461.7,gwh,New South Wales,renewable
Biogas,2013,420.6,gwh,New South Wales,renewable
Wind,2013,899.201944444444,gwh,New South Wales,renewable
Hydro,2013,2721.109,gwh,New South Wales,renewable
Large-scale solar PV,2013,10.635,gwh,New South Wales,renewable
Small-scale solar PV,2013,964.898,gwh,New South Wales,renewable
Geothermal,2013,,gwh,New South Wales,renewable
 Of which ACT,2013,,gwh,New South Wales,renewable
,2013,,gwh,New South Wales,renewable
Black coal,2014,52562.2,gwh,New South Wales,non-renewable
Brown coal,2014,,gwh,New South Wales,non-renewable
Natural gas,2014,4528.39,gwh,New South Wales,non-renewable
Oil products,2014,284.3,gwh,New South Wales,non-renewable
Other a,2014,,gwh,New South Wales,non-renewable
,2014,,gwh,New South Wales,non-renewable
"Bagasse, wood",2014,551.1,gwh,New South Wales,renewable
Biogas,2014,472.1,gwh,New South Wales,renewable
Wind,2014,1376.0,gwh,New South Wales,renewable
Hydro,2014,1770.988,gwh,New South Wales,renewable
Large-scale solar PV,2014,60.176,gwh,New South Wales,renewable
Small-scale solar PV,2014,1211.187,gwh,New South Wales,renewable
Geothermal,2014,,gwh,New South Wales,renewable
 Of which ACT,2014,,gwh,New South Wales,renewable
,2014,,gwh,New South Wales,renewable
Black coal,2015,55334.499,gwh,New South Wales,non-renewable
Brown coal,2015,,gwh,New South Wales,non-renewable
Natural gas,2015,4628.561,gwh,New South Wales,non-renewable
Oil products,2015,289.533,gwh,New South Wales,non-renewable
Other a,2015,,gwh,New South Wales,non-renewable
,2015,,gwh,New South Wales,non-renewable
"Bagasse, wood",2015,601.734,gwh,New South Wales,renewable
Biogas,2015,444.606,gwh,New South Wales,renewable
Wind,2015,1898.78666666667,gwh,New South Wales,renewable
Hydro,2015,3170.201,gwh,New South Wales,renewable
Large-scale solar PV,2015,399.511,gwh,New South Wales,renewable
Small-scale solar PV,2015,1461.945,gwh,New South Wales,renewable
Geothermal,2015,,gwh,New South Wales,renewable
 Of which ACT,2015,,gwh,New South Wales,renewable
,2015,,gwh,New South Wales,renewable
Black coal,2016,55967.1390728242,gwh,New South Wales,non-renewable
Brown coal,2016,,gwh,New South Wales,non-renewable
Natural gas,2016,3330.80754760599,gwh,New South Wales,non-renewable
Oil products,2016,321.550164731702,gwh,New South Wales,non-renewable
Other a,2016,,gwh,New South Wales,non-renewable
,2016,,gwh,New South Wales,non-renewable
"Bagasse, wood",2016,696.468103641614,gwh,New South Wales,renewable
Biogas,2016,406.210218053597,gwh,New South Wales,renewable
Wind,2016,1872.027053176,gwh,New South Wales,renewable
Hydro,2016,3290.64689528199,gwh,New South Wales,renewable
Large-scale solar PV,2016,567.558,gwh,New South Wales,renewable
Small-scale solar PV,2016,1706.84,gwh,New South Wales,renewable
Geothermal,2016,,gwh,New South Wales,renewable
 Of which ACT,2016,165.537,gwh,New South Wales,renewable
,2016,,gwh,New South Wales,renewable
Black coal,2017,57022.1512294079,gwh,New South Wales,non-renewable
Brown coal,2017,,gwh,New South Wales,non-renewable
Natural gas,2017,3045.83427068643,gwh,New South Wales,non-renewable
Oil products,2017,324.364846398719,gwh,New South Wales,non-renewable
Other a,2017,,gwh,New South Wales,non-renewable
,2017,,gwh,New South Wales,non-renewable
"Bagasse, wood",2017,764.984503390002,gwh,New South Wales,renewable
Biogas,2017,424.374969561392,gwh,New South Wales,renewable
Wind,2017,2431.62777777778,gwh,New South Wales,renewable
Hydro,2017,2915.51874127778,gwh,New South Wales,renewable
Large-scale solar PV,2017,699.96,gwh,New South Wales,renewable
Small-scale solar PV,2017,2095.805,gwh,New South Wales,renewable
Geothermal,2017,,gwh,New South Wales,renewable
 Of which ACT,2017,223.868,gwh,New South Wales,renewable
,2017,,gwh,New South Wales,renewable
Black coal,2018,57734.9315037557,gwh,New South Wales,non-renewable
Brown coal,2018,,gwh,New South Wales,non-renewable
Natural gas,2018,2360.32439535983,gwh,New South Wales,non-renewable
Oil products,2018,322.562929117371,gwh,New South Wales,non-renewable
Other a,2018,,gwh,New South Wales,non-renewable
,2018,,gwh,New South Wales,non-renewable
"Bagasse, wood",2018,758.831607338347,gwh,New South Wales,renewable
Biogas,2018,418.790901806348,gwh,New South Wales,renewable
Wind,2018,3739.73694444444,gwh,New South Wales,renewable
Hydro,2018,2160.28372512833,gwh,New South Wales,renewable
Large-scale solar PV,2018,1348.238,gwh,New South Wales,renewable
Small-scale solar PV,2018,2717.095,gwh,New South Wales,renewable
Geothermal,2018,,gwh,New South Wales,renewable
 Of which ACT,2018,254.8753979148798,gwh,New South Wales,renewable
,2018,,gwh,New South Wales,renewable
Black coal,2019,53566.6703980091,gwh,New South Wales,non-renewable
Brown coal,2019,,gwh,New South Wales,non-renewable
Natural gas,2019,2870.9370241579,gwh,New South Wales,non-renewable
Oil products,2019,337.290137989703,gwh,New South Wales,non-renewable
Other a,2019,,gwh,New South Wales,non-renewable
,2019,,gwh,New South Wales,non-renewable
"Bagasse, wood",2019,716.199571678599,gwh,New South Wales,renewable
Biogas,2019,387.43517094245,gwh,New South Wales,renewable
Wind,2019,4574.25972222222,gwh,New South Wales,renewable
Hydro,2019,2110.05302748556,gwh,New South Wales,renewable
Large-scale solar PV,2019,2084.56881599166,gwh,New South Wales,renewable
Small-scale solar PV,2019,3417.32217907717,gwh,New South Wales,renewable
Geothermal,2019,,gwh,New South Wales,renewable
 Of which ACT,2019,278.9715448112778,gwh,New South Wales,renewable
,2019,,gwh,New South Wales,renewable
Black coal,2020,50790.8128039102,gwh,New South Wales,non-renewable
Brown coal,2020,,gwh,New South Wales,non-renewable
Natural gas,2020,1903.20566720172,gwh,New South Wales,non-renewable
Oil products,2020,340.576701343318,gwh,New South Wales,non-renewable
Other a,2020,,gwh,New South Wales,non-renewable
,2020,,gwh,New South Wales,non-renewable
"Bagasse, wood",2020,686.097975316758,gwh,New South Wales,renewable
Biogas,2020,411.043805080419,gwh,New South Wales,renewable
Wind,2020,4805.91611111111,gwh,New South Wales,renewable
Hydro,2020,2964.23879598,gwh,New South Wales,renewable
Large-scale solar PV,2020,3368.02,gwh,New South Wales,renewable
Small-scale solar PV,2020,4892.91504995567,gwh,New South Wales,renewable
Geothermal,2020,,gwh,New South Wales,renewable
 Of which ACT,2020,341.21341566838885,gwh,New South Wales,renewable
,2020,,gwh,New South Wales,renewable
Black coal,2021,46958.7951489024,gwh,New South Wales,non-renewable
Brown coal,2021,,gwh,New South Wales,non-renewable
Natural gas,2021,3210.70508593199,gwh,New South Wales,non-renewable
Oil products,2021,458.080889747372,gwh,New South Wales,non-renewable
Other a,2021,,gwh,New South Wales,non-renewable
,2021,,gwh,New South Wales,non-renewable
"Bagasse, wood",2021,568.33814400538,gwh,New South Wales,renewable
Biogas,2021,398.533245301815,gwh,New South Wales,renewable
Wind,2021,5973.42916666667,gwh,New South Wales,renewable
Hydro,2021,3315.52211924278,gwh,New South Wales,renewable
Large-scale solar PV,2021,5014.4125938466,gwh,New South Wales,renewable
Small-scale solar PV,2021,6201.341340315,gwh,New South Wales,renewable
Geothermal,2021,,gwh,New South Wales,renewable
 Of which ACT,2021,432.11377709085593,gwh,New South Wales,renewable
,2021,,gwh,New South Wales,renewable
Black coal,2022,45602.7682122032,gwh,New South Wales,non-renewable
Brown coal,2022,,gwh,New South Wales,non-renewable
Natural gas,2022,2497.56198620179,gwh,New South Wales,non-renewable
Oil products,2022,389.55810629665,gwh,New South Wales,non-renewable
Other a,2022,,gwh,New South Wales,non-renewable
,2022,,gwh,New South Wales,non-renewable
"Bagasse, wood",2022,580.9549198296,gwh,New South Wales,renewable
Biogas,2022,411.396084038444,gwh,New South Wales,renewable
Wind,2022,6210.92444444444,gwh,New South Wales,renewable
Hydro,2022,3752.07699007666,gwh,New South Wales,renewable
Large-scale solar PV,2022,6126.5827845678,gwh,New South Wales,renewable
Small-scale solar PV,2022,7497.8824618,gwh,New South Wales,renewable
Geothermal,2022,,gwh,New South Wales,renewable
 Of which ACT,2022,695.0001826357401,gwh,New South Wales,renewable
,2022,,gwh,New South Wales,renewable
Black coal a,2008,,gwh,Victoria,non-renewable
Brown coal,2008,52094.0,gwh,Victoria,non-renewable
Natural gas,2008,1451.9,gwh,Victoria,non-renewable
Oil products,2008,20.4,gwh,Victoria,non-renewable
Other b,2008,,gwh,Victoria,non-renewable
,2008,,gwh,Victoria,non-renewable
"Bagasse, wood c",2008,,gwh,Victoria,renewable
Biogas,2008,292.0,gwh,Victoria,renewable
Wind,2008,573.0,gwh,Victoria,renewable
Hydro,2008,2234.523,gwh,Victoria,renewable
Large-scale solar PV,2008,,gwh,Victoria,renewable
Small-scale solar PV,2008,24.1,gwh,Victoria,renewable
Geothermal,2008,,gwh,Victoria,renewable
,2008,,gwh,Victoria,renewable
,2008,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2008,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2008,,gwh,Victoria,renewable
Black coal a,2009,,gwh,Victoria,non-renewable
Brown coal,2009,51541.7,gwh,Victoria,non-renewable
Natural gas,2009,1697.9,gwh,Victoria,non-renewable
Oil products,2009,1.1,gwh,Victoria,non-renewable
Other b,2009,,gwh,Victoria,non-renewable
,2009,,gwh,Victoria,non-renewable
"Bagasse, wood c",2009,,gwh,Victoria,renewable
Biogas,2009,303.4,gwh,Victoria,renewable
Wind,2009,1406.0,gwh,Victoria,renewable
Hydro,2009,1974.974,gwh,Victoria,renewable
Large-scale solar PV,2009,,gwh,Victoria,renewable
Small-scale solar PV,2009,66.2,gwh,Victoria,renewable
Geothermal,2009,,gwh,Victoria,renewable
,2009,,gwh,Victoria,renewable
,2009,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2009,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2009,,gwh,Victoria,renewable
Black coal a,2010,,gwh,Victoria,non-renewable
Brown coal,2010,51066.5,gwh,Victoria,non-renewable
Natural gas,2010,1289.8,gwh,Victoria,non-renewable
Oil products,2010,38.2,gwh,Victoria,non-renewable
Other b,2010,,gwh,Victoria,non-renewable
,2010,,gwh,Victoria,non-renewable
"Bagasse, wood c",2010,,gwh,Victoria,renewable
Biogas,2010,339.6,gwh,Victoria,renewable
Wind,2010,1434.4,gwh,Victoria,renewable
Hydro,2010,3910.622,gwh,Victoria,renewable
Large-scale solar PV,2010,,gwh,Victoria,renewable
Small-scale solar PV,2010,205.5,gwh,Victoria,renewable
Geothermal,2010,,gwh,Victoria,renewable
,2010,,gwh,Victoria,renewable
,2010,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2010,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2010,,gwh,Victoria,renewable
Black coal a,2011,,gwh,Victoria,non-renewable
Brown coal,2011,52059.7,gwh,Victoria,non-renewable
Natural gas,2011,1142.5,gwh,Victoria,non-renewable
Oil products,2011,4.0,gwh,Victoria,non-renewable
Other b,2011,,gwh,Victoria,non-renewable
,2011,,gwh,Victoria,non-renewable
"Bagasse, wood c",2011,187.106,gwh,Victoria,renewable
Biogas,2011,672.241,gwh,Victoria,renewable
Wind,2011,1416.2,gwh,Victoria,renewable
Hydro,2011,2393.275,gwh,Victoria,renewable
Large-scale solar PV,2011,,gwh,Victoria,renewable
Small-scale solar PV,2011,378.7,gwh,Victoria,renewable
Geothermal,2011,,gwh,Victoria,renewable
,2011,,gwh,Victoria,renewable
,2011,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2011,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2011,,gwh,Victoria,renewable
Black coal a,2012,,gwh,Victoria,non-renewable
Brown coal,2012,45317.6,gwh,Victoria,non-renewable
Natural gas,2012,3247.7,gwh,Victoria,non-renewable
Oil products,2012,10.7,gwh,Victoria,non-renewable
Other b,2012,,gwh,Victoria,non-renewable
,2012,,gwh,Victoria,non-renewable
"Bagasse, wood c",2012,171.14,gwh,Victoria,renewable
Biogas,2012,673.96,gwh,Victoria,renewable
Wind,2012,2005.1,gwh,Victoria,renewable
Hydro,2012,3293.811,gwh,Victoria,renewable
Large-scale solar PV,2012,,gwh,Victoria,renewable
Small-scale solar PV,2012,580.1,gwh,Victoria,renewable
Geothermal,2012,,gwh,Victoria,renewable
,2012,,gwh,Victoria,renewable
,2012,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2012,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2012,,gwh,Victoria,renewable
Black coal a,2013,,gwh,Victoria,non-renewable
Brown coal,2013,43977.7,gwh,Victoria,non-renewable
Natural gas,2013,3239.3,gwh,Victoria,non-renewable
Oil products,2013,145.8,gwh,Victoria,non-renewable
Other b,2013,,gwh,Victoria,non-renewable
,2013,,gwh,Victoria,non-renewable
"Bagasse, wood c",2013,188.787,gwh,Victoria,renewable
Biogas,2013,698.103,gwh,Victoria,renewable
Wind,2013,2771.9,gwh,Victoria,renewable
Hydro,2013,2594.991,gwh,Victoria,renewable
Large-scale solar PV,2013,4.41,gwh,Victoria,renewable
Small-scale solar PV,2013,674.162,gwh,Victoria,renewable
Geothermal,2013,,gwh,Victoria,renewable
,2013,,gwh,Victoria,renewable
,2013,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2013,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2013,,gwh,Victoria,renewable
Black coal a,2014,,gwh,Victoria,non-renewable
Brown coal,2014,48336.8,gwh,Victoria,non-renewable
Natural gas,2014,2390.927,gwh,Victoria,non-renewable
Oil products,2014,155.95,gwh,Victoria,non-renewable
Other b,2014,,gwh,Victoria,non-renewable
,2014,,gwh,Victoria,non-renewable
"Bagasse, wood c",2014,251.976,gwh,Victoria,renewable
Biogas,2014,420.258,gwh,Victoria,renewable
Wind,2014,3067.79138888889,gwh,Victoria,renewable
Hydro,2014,2513.612,gwh,Victoria,renewable
Large-scale solar PV,2014,9.066,gwh,Victoria,renewable
Small-scale solar PV,2014,874.831,gwh,Victoria,renewable
Geothermal,2014,,gwh,Victoria,renewable
,2014,,gwh,Victoria,renewable
,2014,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2014,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2014,,gwh,Victoria,renewable
Black coal a,2015,,gwh,Victoria,non-renewable
Brown coal,2015,46234.132,gwh,Victoria,non-renewable
Natural gas,2015,1892.244,gwh,Victoria,non-renewable
Oil products,2015,70.573,gwh,Victoria,non-renewable
Other b,2015,,gwh,Victoria,non-renewable
,2015,,gwh,Victoria,non-renewable
"Bagasse, wood c",2015,235.392,gwh,Victoria,renewable
Biogas,2015,512.312,gwh,Victoria,renewable
Wind,2015,3341.83,gwh,Victoria,renewable
Hydro,2015,3228.452,gwh,Victoria,renewable
Large-scale solar PV,2015,11.473,gwh,Victoria,renewable
Small-scale solar PV,2015,1056.128,gwh,Victoria,renewable
Geothermal,2015,,gwh,Victoria,renewable
,2015,,gwh,Victoria,renewable
,2015,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2015,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2015,,gwh,Victoria,renewable
Black coal a,2016,,gwh,Victoria,non-renewable
Brown coal,2016,43594.097917674,gwh,Victoria,non-renewable
Natural gas,2016,2658.73897977746,gwh,Victoria,non-renewable
Oil products,2016,109.280519406166,gwh,Victoria,non-renewable
Other b,2016,,gwh,Victoria,non-renewable
,2016,,gwh,Victoria,non-renewable
"Bagasse, wood c",2016,263.35469704214,gwh,Victoria,renewable
Biogas,2016,431.106178218,gwh,Victoria,renewable
Wind,2016,3560.850626456,gwh,Victoria,renewable
Hydro,2016,3673.25895361601,gwh,Victoria,renewable
Large-scale solar PV,2016,13.802,gwh,Victoria,renewable
Small-scale solar PV,2016,1231.72,gwh,Victoria,renewable
Geothermal,2016,,gwh,Victoria,renewable
,2016,,gwh,Victoria,renewable
,2016,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2016,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2016,,gwh,Victoria,renewable
Black coal a,2017,,gwh,Victoria,non-renewable
Brown coal,2017,36021.4269816678,gwh,Victoria,non-renewable
Natural gas,2017,3829.88660562653,gwh,Victoria,non-renewable
Oil products,2017,178.022833996367,gwh,Victoria,non-renewable
Other b,2017,,gwh,Victoria,non-renewable
,2017,,gwh,Victoria,non-renewable
"Bagasse, wood c",2017,241.012190481415,gwh,Victoria,renewable
Biogas,2017,460.191919923378,gwh,Victoria,renewable
Wind,2017,4303.85083333333,gwh,Victoria,renewable
Hydro,2017,2803.10681427778,gwh,Victoria,renewable
Large-scale solar PV,2017,39.442,gwh,Victoria,renewable
Small-scale solar PV,2017,1481.194,gwh,Victoria,renewable
Geothermal,2017,,gwh,Victoria,renewable
,2017,,gwh,Victoria,renewable
,2017,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2017,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2017,,gwh,Victoria,renewable
Black coal a,2018,,gwh,Victoria,non-renewable
Brown coal,2018,34495.2451952251,gwh,Victoria,non-renewable
Natural gas,2018,3334.03134938583,gwh,Victoria,non-renewable
Oil products,2018,204.65939347379,gwh,Victoria,non-renewable
Other b,2018,,gwh,Victoria,non-renewable
,2018,,gwh,Victoria,non-renewable
"Bagasse, wood c",2018,235.468602402652,gwh,Victoria,renewable
Biogas,2018,497.643815142002,gwh,Victoria,renewable
Wind,2018,4863.69944444444,gwh,Victoria,renewable
Hydro,2018,2702.80155264944,gwh,Victoria,renewable
Large-scale solar PV,2018,462.469,gwh,Victoria,renewable
Small-scale solar PV,2018,1899.952,gwh,Victoria,renewable
Geothermal,2018,,gwh,Victoria,renewable
,2018,,gwh,Victoria,renewable
,2018,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2018,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2018,,gwh,Victoria,renewable
Black coal a,2019,,gwh,Victoria,non-renewable
Brown coal,2019,33661.5497687206,gwh,Victoria,non-renewable
Natural gas,2019,3117.04039074067,gwh,Victoria,non-renewable
Oil products,2019,201.974473249397,gwh,Victoria,non-renewable
Other b,2019,,gwh,Victoria,non-renewable
,2019,,gwh,Victoria,non-renewable
"Bagasse, wood c",2019,243.796775622705,gwh,Victoria,renewable
Biogas,2019,535.728248367321,gwh,Victoria,renewable
Wind,2019,5596.2475,gwh,Victoria,renewable
Hydro,2019,2310.83558362556,gwh,Victoria,renewable
Large-scale solar PV,2019,872.457853886666,gwh,Victoria,renewable
Small-scale solar PV,2019,2457.27015678817,gwh,Victoria,renewable
Geothermal,2019,,gwh,Victoria,renewable
,2019,,gwh,Victoria,renewable
,2019,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2019,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2019,,gwh,Victoria,renewable
Black coal a,2020,,gwh,Victoria,non-renewable
Brown coal,2020,34060.0283015955,gwh,Victoria,non-renewable
Natural gas,2020,1956.91589981343,gwh,Victoria,non-renewable
Oil products,2020,179.06844557427,gwh,Victoria,non-renewable
Other b,2020,,gwh,Victoria,non-renewable
,2020,,gwh,Victoria,non-renewable
"Bagasse, wood c",2020,229.669953471902,gwh,Victoria,renewable
Biogas,2020,499.303012902689,gwh,Victoria,renewable
Wind,2020,7080.62333484833,gwh,Victoria,renewable
Hydro,2020,2851.96203735333,gwh,Victoria,renewable
Large-scale solar PV,2020,1455.53,gwh,Victoria,renewable
Small-scale solar PV,2020,3176.37879819308,gwh,Victoria,renewable
Geothermal,2020,,gwh,Victoria,renewable
,2020,,gwh,Victoria,renewable
,2020,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2020,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2020,,gwh,Victoria,renewable
Black coal a,2021,,gwh,Victoria,non-renewable
Brown coal,2021,32515.6361645891,gwh,Victoria,non-renewable
Natural gas,2021,2224.82870205023,gwh,Victoria,non-renewable
Oil products,2021,219.42853361295,gwh,Victoria,non-renewable
Other b,2021,,gwh,Victoria,non-renewable
,2021,,gwh,Victoria,non-renewable
"Bagasse, wood c",2021,258.838953136678,gwh,Victoria,renewable
Biogas,2021,497.998619780028,gwh,Victoria,renewable
Wind,2021,9563.57277777777,gwh,Victoria,renewable
Hydro,2021,2787.87288075722,gwh,Victoria,renewable
Large-scale solar PV,2021,1897.432116265,gwh,Victoria,renewable
Small-scale solar PV,2021,3941.95772230625,gwh,Victoria,renewable
Geothermal,2021,,gwh,Victoria,renewable
,2021,,gwh,Victoria,renewable
,2021,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2021,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2021,,gwh,Victoria,renewable
Black coal a,2022,,gwh,Victoria,non-renewable
Brown coal,2022,31459.1255233818,gwh,Victoria,non-renewable
Natural gas,2022,1693.46598546646,gwh,Victoria,non-renewable
Oil products,2022,259.085928021892,gwh,Victoria,non-renewable
Other b,2022,,gwh,Victoria,non-renewable
,2022,,gwh,Victoria,non-renewable
"Bagasse, wood c",2022,192.908022998434,gwh,Victoria,renewable
Biogas,2022,484.544213724456,gwh,Victoria,renewable
Wind,2022,11065.5416666667,gwh,Victoria,renewable
Hydro,2022,3237.20217659,gwh,Victoria,renewable
Large-scale solar PV,2022,1957.0487,gwh,Victoria,renewable
Small-scale solar PV,2022,4618.841249,gwh,Victoria,renewable
Geothermal,2022,,gwh,Victoria,renewable
,2022,,gwh,Victoria,renewable
,2022,,gwh,Victoria,renewable
b Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,2022,,gwh,Victoria,renewable
"c In Victoria, solid biomass generation for 2011-12 is not separately identified for confidentiality reasons and is included in biogas generation.",2022,,gwh,Victoria,renewable
Black coal,2008,50882.2,gwh,Queensland,non-renewable
Brown coal,2008,,gwh,Queensland,non-renewable
Natural gas,2008,9257.2,gwh,Queensland,non-renewable
Oil products,2008,711.4,gwh,Queensland,non-renewable
Other a,2008,,gwh,Queensland,non-renewable
,2008,,gwh,Queensland,non-renewable
"Bagasse, wood",2008,1472.1,gwh,Queensland,renewable
Biogas,2008,116.4,gwh,Queensland,renewable
Wind,2008,27.3,gwh,Queensland,renewable
Hydro,2008,820.2,gwh,Queensland,renewable
Large-scale solar PV,2008,,gwh,Queensland,renewable
Small-scale solar PV,2008,50.8,gwh,Queensland,renewable
Geothermal,2008,0.5,gwh,Queensland,renewable
,2008,,gwh,Queensland,renewable
,2008,,gwh,Queensland,renewable
Black coal,2009,49713.7,gwh,Queensland,non-renewable
Brown coal,2009,,gwh,Queensland,non-renewable
Natural gas,2009,12020.6,gwh,Queensland,non-renewable
Oil products,2009,370.7,gwh,Queensland,non-renewable
Other a,2009,,gwh,Queensland,non-renewable
,2009,,gwh,Queensland,non-renewable
"Bagasse, wood",2009,1466.5,gwh,Queensland,renewable
Biogas,2009,81.5,gwh,Queensland,renewable
Wind,2009,30.908921,gwh,Queensland,renewable
Hydro,2009,572.8,gwh,Queensland,renewable
Large-scale solar PV,2009,,gwh,Queensland,renewable
Small-scale solar PV,2009,121.3,gwh,Queensland,renewable
Geothermal,2009,0.5,gwh,Queensland,renewable
,2009,,gwh,Queensland,renewable
,2009,,gwh,Queensland,renewable
Black coal,2010,45864.3,gwh,Queensland,non-renewable
Brown coal,2010,,gwh,Queensland,non-renewable
Natural gas,2010,14595.3,gwh,Queensland,non-renewable
Oil products,2010,373.7,gwh,Queensland,non-renewable
Other a,2010,,gwh,Queensland,non-renewable
,2010,,gwh,Queensland,non-renewable
"Bagasse, wood",2010,823.7,gwh,Queensland,renewable
Biogas,2010,97.0,gwh,Queensland,renewable
Wind,2010,27.3,gwh,Queensland,renewable
Hydro,2010,965.6,gwh,Queensland,renewable
Large-scale solar PV,2010,,gwh,Queensland,renewable
Small-scale solar PV,2010,400.6,gwh,Queensland,renewable
Geothermal,2010,0.5,gwh,Queensland,renewable
,2010,,gwh,Queensland,renewable
,2010,,gwh,Queensland,renewable
Black coal,2011,45417.3,gwh,Queensland,non-renewable
Brown coal,2011,,gwh,Queensland,non-renewable
Natural gas,2011,15303.4,gwh,Queensland,non-renewable
Oil products,2011,306.0,gwh,Queensland,non-renewable
Other a,2011,,gwh,Queensland,non-renewable
